id,Salario,Perfil,Ativo01,Ativo02,Ativo03,Ativo04,Ativo05,Ativo06,Ativo07,Nota1,Nota2
id0011529,$2.25,Agressivo,1311.38,,,29267.48,4993.3,,506.4,73.00721628615867,30.025005499496572
id0030644,$24.57,Agressivo,1007.38,4846.66,2717.82,12532.15,4282.98,,499.93,20.000122605167704,29.47772784577536
id0019311,$367.53,Moderado,1128.99,4668.94,3092.6,9777.77,4246.3,2007.83,509.5,24.901449671934593,49.65985171921463
id0036705,$23.26,Moderado,1185.26,4782.17,2669.05,14047.87,6026.84,2064.09,489.82,14.24671780640555,29.27120594207795
id0001368,$6.31,Conservador,957.64,5585.52,,5067.08,4030.51,2022.61,507.39,5.922253313614356,11.840600691221448
id0028356,$12.34,Conservador,1076.39,5018.25,3806.01,,4081.56,,500.22,56.544329595268906,31.046943048713494
id0018389,$91446.58,Moderado,,5131.99,,8338.6,5369.09,,511.98,71.92863717861516,82.87179473965087
id0005926,$72.17,Agressivo,,5316.09,,7847.85,5458.39,2322.49,512.27,2.6888249779714934,88.93108154684157
id0027850,$778.13,Moderado,826.03,,3047.89,14893.01,5065.93,,512.84,,4.968258376812818
id0030954,$24765.01,Conservador,,,2988.62,29697.26,5116.62,2313.07,511.49,69.37415463893868,53.71270989579144
id0011459,$20426.40,Moderado,,,3467.53,,4714.69,,516.27,63.41634718522769,65.45498343236075
id0011609,$31.25,Conservador,,5288.07,2581.22,27192.44,4934.33,2810.08,509.61,,28.415307381030885
id0001141,$9555.73,Conservador,,4890.76,3387.53,,,,492.83,93.01752160115471,38.03524593551232
id0000540,$52566.13,Agressivo,1038.73,5503.69,2880.53,25553.64,4424.37,,498.67,37.72694122262209,65.92524137174189
id0026259,$45.31,Agressivo,877.33,5221.26,3857.99,12548.64,4634.83,,500.48,65.19098866107419,40.912210689371086
id0003883,$75869.21,Moderado,824.22,4634.95,3281.49,12179.61,5497.66,2434.38,516.23,27.834628884681912,88.1837906127871
id0027933,$10541.15,Agressivo,856.77,4742.43,2769.74,11022.66,5606.07,,492.09,31.443584614862207,7.508725796614479
id0024121,$86.39,Agressivo,1016.83,5034.35,,,4911.47,2098.84,500.32,94.90208098708649,45.880620299629896
id0012489,$6958.80,Moderado,1553.0,4614.33,3227.27,7323.8,5783.82,,487.92,67.00271977277566,87.37594808921244
id0027713,$1357.17,Agressivo,1466.05,5353.91,,8650.21,6105.87,2007.07,498.26,70.0486446254896,89.01913941177709
id0017409,$6.39,Agressivo,962.35,4662.8,,,5636.33,,488.64,78.51842600955129,26.20728191997468
id0021395,$4.92,Agressivo,954.23,5267.15,3366.09,,5848.4,2019.82,492.74,26.86893521098346,38.58934976732476
id0013336,$34927.20,Moderado,938.99,4673.62,,13147.36,5012.77,2368.65,504.17,55.64613645139417,97.07303184959743
id0007332,$5158.97,Conservador,1349.93,5125.18,3435.83,,5342.01,2403.41,525.03,,17.100762956340954
id0031823,$70.24,Agressivo,911.43,4993.47,,14282.01,5148.69,2015.57,491.78,20.207691356641277,
id0031120,$744.90,Conservador,1563.44,5244.06,4039.48,10510.33,4672.08,,501.49,1.4987036984982605,58.24108094380806
