id,Salario,Perfil,Ativo01,Ativo02,Ativo03,Ativo04,Ativo05,Ativo06,Ativo07,Nota1,Nota2
0002921,$3.37,Agressivo,,5187.69,,16156.76,5827.84,,477.68,83.50918549429409,61.59024637531846
0004371,$49.78,Conservador,,5161.94,2657.34,,4666.9,2657.62,505.32,8.981764535235337,57.88841331172227
0018766,$58.78,Agressivo,1136.69,4925.53,3058.35,15120.4,4711.0,,482.82,6.9729254825420695,24.642589088652265
0010007,$30.72,Moderado,969.16,4874.98,,,4895.04,2042.6,512.79,92.48249315172588,94.52139168560085
0020049,$312.97,Agressivo,1106.47,4932.99,2605.0,9259.08,,2960.32,491.24,19.189218544509846,93.86373465001913
0020506,$1101.04,Moderado,1323.79,,2643.64,15460.01,5227.39,2393.43,498.25,33.0777913646248,32.42003219724412
0018220,$92.62,Agressivo,1213.52,4873.55,3167.1,,,,522.87,67.66993950829946,17.628155478334318
0024033,$8489.82,Agressivo,930.19,5580.43,3638.74,6433.23,4123.27,2122.89,505.07,60.576994988028865,37.49154546014446
0005616,$90.43,Agressivo,812.95,5577.44,,5373.49,5045.83,2504.45,508.09,42.57434311163175,29.921648785377574
0001477,$283.75,Moderado,,5418.42,3358.73,,,2348.55,511.35,87.8701452562081,18.541534320605667
0020646,$435.61,Agressivo,909.34,,2941.88,22439.8,4246.2,2265.04,479.08,15.926904176571,54.61780844863884
0006972,$771.54,Agressivo,1192.15,4679.33,2596.41,15790.67,6689.88,,496.21,54.9467108601325,36.515898064176575
0021642,$5403.33,Conservador,,,2991.06,,5846.51,2100.22,493.03,25.08004918907031,75.94511247344202
0022936,$290.52,Conservador,965.73,,3030.94,,4238.92,,507.55,44.422305696688255,36.35955957761819
0037559,$33204.57,Moderado,,,3482.12,19950.47,5066.24,,514.66,69.54644682679668,5.744674174328123
0022873,$66.18,Conservador,860.42,4557.49,2762.28,,4212.85,2398.39,501.85,59.371379416647315,92.97383044964471
0038629,$10.48,Moderado,1026.5,5405.42,2775.81,7701.87,5964.63,2235.1,485.59,45.5191088618258,25.366606674718696
0005939,$7539.03,Agressivo,1143.7,4770.96,,21160.48,4574.99,2102.29,515.44,29.53035212326722,68.40138139662211
0038138,$3300.49,Moderado,922.69,5094.33,3544.33,10706.57,5153.32,2356.99,511.07,93.34941521326935,56.902546402523605
